  Sent.                        Matched  Bracket   Cross        Correct Tag
 ID  Len.  Stat. Recal  Prec.  Bracket gold test Bracket Words  Tags Accracy
============================================================================
   1   37    0   83.33  83.33    25     30   30      4     35    32    91.43
   2   45    0   75.00  72.73    24     32   33      7     41    40    97.56
   3   20    0   92.86  81.25    13     14   16      0     18    18   100.00
   4   37    0   94.74  94.74    18     19   19      0     30    29    96.67
   5   23    0  100.00  94.44    17     17   18      0     22    22   100.00
   6   22    0  100.00 100.00    15     15   15      0     21    20    95.24
   7   17    0   92.86  92.86    13     14   14      0     15    15   100.00
   8   28    0   62.96  68.00    17     27   25      6     25    24    96.00
   9   34    0   82.76  85.71    24     29   28      2     31    30    96.77
  10   23    0  100.00 100.00    22     22   22      0     19    18    94.74
  11   30    0   61.54  64.00    16     26   25      9     28    28   100.00
  12   29    0   88.46  92.00    23     26   25      0     26    23    88.46
  13   23    0   82.61  82.61    19     23   23      3     20    18    90.00
  14   13    0  100.00 100.00     8      8    8      0     12    11    91.67
  15   20    0  100.00 100.00    14     14   14      0     19    19   100.00
  16   42    0   63.89  60.53    23     36   38      9     38    37    97.37
  17   44    0   87.50  82.35    28     32   34      0     39    35    89.74
  18   27    0   81.82  66.67    18     22   27      3     23    19    82.61
  19   26    0   88.00  88.00    22     25   25      1     24    24   100.00
  20   15    0   88.89  80.00     8      9   10      0     14    13    92.86
  21    9    0  100.00 100.00    11     11   11      0      8     8   100.00
  22   42    0   55.56  60.61    20     36   33      8     38    36    94.74
  23   22    0   50.00  52.38    11     22   21      7     21    21   100.00
  24   17    0  100.00 100.00    12     12   12      0     15    14    93.33
  25   10    0   75.00  85.71     6      8    7      0      8     7    87.50
  26   22    0  100.00  87.50    14     14   16      0     21    21   100.00
  27   17    0   76.92  76.92    10     13   13      1     15    14    93.33
  28   14    0  100.00  88.89     8      8    9      0     13    13   100.00
  29   21    0   89.47  94.44    17     19   18      1     20    19    95.00
  30   18    0  100.00 100.00     9      9    9      0     15    15   100.00
  31   26    0   83.33  78.95    15     18   19      1     24    22    91.67
  32    8    0  100.00 100.00     5      5    5      0      6     6   100.00
  33   17    0  100.00 100.00    13     13   13      0     14    13    92.86
  34   27    0   94.74 100.00    18     19   18      0     25    25   100.00
  35   21    0   85.71  92.31    12     14   13      1     18    17    94.44
  36   32    0   93.10  90.00    27     29   30      2     29    27    93.10
  37   21    0  100.00 100.00    18     18   18      0     18    18   100.00
  38    9    0   42.86  33.33     3      7    9      3      7     6    85.71
  39   12    0   46.15  50.00     6     13   12      4     11    11   100.00
  40   11    0  100.00 100.00    11     11   11      0     10    10   100.00
  41   24    0   77.27  77.27    17     22   22      2     22    20    90.91
  42   40    0   60.61  55.56    20     33   36     11     34    33    97.06
  43   13    0   60.00  60.00     6     10   10      3     12    12   100.00
  44   14    0   57.14  61.54     8     14   13      3     13    11    84.62
  45   40    0   71.88  63.89    23     32   36      5     37    29    78.38
  46   20    0  100.00 100.00    19     19   19      0     19    19   100.00
  47   32    0   88.24  78.95    15     17   19      0     27    24    88.89
  48   29    0   91.67  91.67    22     24   24      0     24    23    95.83
  49   19    0   94.74 100.00    18     19   18      0     18    18   100.00
  50   13    0  100.00 100.00    11     11   11      0     12    12   100.00
  51   11    0   66.67  75.00     6      9    8      0      9     7    77.78
  52   21    0   71.43  71.43    15     21   21      4     19    18    94.74
  53   41    0   78.57  76.74    33     42   43      8     36    34    94.44
  54   18    0   76.92  71.43    10     13   14      2     15    15   100.00
  55   11    0   55.56  62.50     5      9    8      3      8     7    87.50
  56   23    0   68.42  68.42    13     19   19      2     21    18    85.71
  57   23    0   88.24  93.75    15     17   16      0     20    20   100.00
  58   33    0   96.88  91.18    31     32   34      0     29    29   100.00
  59   28    0   55.00  61.11    11     20   18      6     24    24   100.00
  60   22    0   87.50  82.35    14     16   17      1     20    20   100.00
  61   14    0   35.71  33.33     5     14   15      9     12    12   100.00
  62   27    0  100.00 100.00    22     22   22      0     23    22    95.65
  63   24    0   90.91  83.33    20     22   24      0     22    21    95.45
  64   15    0   66.67  71.43    10     15   14      2     14    13    92.86
  65   24    0   94.74  90.00    18     19   20      0     21    19    90.48
  66   17    0   88.24  93.75    15     17   16      0     16    15    93.75
  67    4    0  100.00  50.00     1      1    2      0      2     2   100.00
  68    3    0  100.00 100.00     1      1    1      0      2     2   100.00
  69   31    0   90.48  95.00    19     21   20      0     26    24    92.31
  70    5    0  100.00 100.00     4      4    4      0      4     4   100.00
  71   20    0   76.47  86.67    13     17   15      1     17    16    94.12
  72   18    0  100.00  78.57    11     11   14      0     15    15   100.00
  73   31    0   75.00  78.95    15     20   19      0     24    23    95.83
